,Country Code,Year,TotalXpd,Country Name,Region,PCAPXpd,IncomeGroup,Mortality
577,AZE,2006,6.16806759,Azerbaijan,Europe & Central Asia,149.73,Upper middle income,48.8
578,BDI,2006,11.49013252,Burundi,Sub-Saharan Africa,17.8,Low income,117.3
579,BEL,2006,9.17112797,Belgium,Europe & Central Asia,3489.81,High income,4.9
580,BEN,2006,4.75046608,Benin,Sub-Saharan Africa,26.47,Low income,121.0
581,BFA,2006,6.57889926,Burkina Faso,Sub-Saharan Africa,27.65,Low income,146.9
582,BGD,2006,2.79623022,Bangladesh,South Asia,13.51,Lower middle income,62.8
583,BGR,2006,6.6734753,Bulgaria,Europe & Central Asia,300.39,Upper middle income,12.5
584,BHR,2006,3.07675509,Bahrain,Middle East & North Africa,605.17,High income,10.2
585,BHS,2006,6.93251788,"Bahamas, The",Latin America & Caribbean,1644.47,High income,16.0
586,BIH,2006,8.28337432,Bosnia and Herzegovina,Europe & Central Asia,277.66,Upper middle income,8.5
587,BLR,2006,6.33679804,Belarus,Europe & Central Asia,244.18,Upper middle income,7.8
588,BLZ,2006,4.40074319,Belize,Latin America & Caribbean,184.27,Upper middle income,20.5
589,BOL,2006,5.19483534,Bolivia,Latin America & Caribbean,65.05,Lower middle income,57.7
590,BRA,2006,8.35570723,Brazil,Latin America & Caribbean,485.39,Upper middle income,24.5
591,BRB,2006,5.27479782,Barbados,Latin America & Caribbean,825.34,High income,15.2
592,BRN,2006,2.24345194,Brunei Darussalam,East Asia & Pacific,699.0,High income,11.3
593,BTN,2006,5.26868823,Bhutan,South Asia,70.92,Lower middle income,54.5
594,BWA,2006,4.92953585,Botswana,Sub-Saharan Africa,263.34,Upper middle income,64.2
595,CAF,2006,3.98872906,Central African Republic,Sub-Saharan Africa,14.24,Low income,161.2
596,CAN,2006,9.75077613,Canada,North America,3945.46,High income,6.0
597,CHE,2006,10.38772207,Switzerland,Europe & Central Asia,5642.67,High income,4.9
598,CHL,2006,6.18107636,Chile,Latin America & Caribbean,584.73,High income,9.1
599,CHN,2006,4.52241742,China,East Asia & Pacific,94.05,Upper middle income,21.9
600,CIV,2006,5.87099688,Cote d'Ivoire,Sub-Saharan Africa,56.53,Lower middle income,124.4
601,CMR,2006,4.68549975,Cameroon,Sub-Saharan Africa,45.23,Lower middle income,131.0
602,COD,2006,3.38568114,"Congo, Dem. Rep.",Sub-Saharan Africa,8.36,Low income,132.8
603,COG,2006,2.3727082999999998,"Congo, Rep.",Sub-Saharan Africa,50.89,Lower middle income,82.9
604,COL,2006,6.1117047,Colombia,Latin America & Caribbean,226.69,Upper middle income,21.0
605,COM,2006,4.57135897,Comoros,Sub-Saharan Africa,29.29,Low income,98.0
606,CPV,2006,5.11488034,Cabo Verde,Sub-Saharan Africa,126.41,Lower middle income,27.9
607,CRI,2006,7.823185799999999,Costa Rica,Latin America & Caribbean,409.93,Upper middle income,10.3
608,CUB,2006,7.67119625,Cuba,Latin America & Caribbean,359.99,Upper middle income,6.6
609,CYP,2006,6.27810151,Cyprus,Europe & Central Asia,1529.21,High income,4.6
610,CZE,2006,6.69370303,Czech Republic,Europe & Central Asia,971.51,High income,4.1
611,DEU,2006,10.34100073,Germany,Europe & Central Asia,3766.11,High income,4.6
612,DJI,2006,7.05121762,Djibouti,Middle East & North Africa,68.7,Lower middle income,86.1
613,DMA,2006,4.54040177,Dominica,Latin America & Caribbean,255.49,Upper middle income,16.7
614,DNK,2006,9.92431629,Denmark,Europe & Central Asia,5017.51,High income,4.6
615,DOM,2006,4.34435286,Dominican Republic,Latin America & Caribbean,165.87,Upper middle income,36.2
616,DZA,2006,3.35511843,Algeria,Middle East & North Africa,116.34,Upper middle income,32.1
617,ECU,2006,5.85722282,Ecuador,Latin America & Caribbean,196.26,Upper middle income,28.3
618,EGY,2006,5.23956984,"Egypt, Arab Rep.",Middle East & North Africa,74.01,Lower middle income,34.6
619,ERI,2006,3.29897088,Eritrea,Sub-Saharan Africa,9.28,Low income,65.9
620,ESP,2006,8.23258934,Spain,Europe & Central Asia,2312.79,High income,4.5
621,EST,2006,5.01483256,Estonia,Europe & Central Asia,624.62,High income,6.5
622,ETH,2006,4.46674967,Ethiopia,Sub-Saharan Africa,8.65,Low income,103.5
623,FIN,2006,8.38132513,Finland,Europe & Central Asia,3316.63,High income,3.6
624,FJI,2006,3.83604195,Fiji,East Asia & Pacific,143.85,Upper middle income,23.5
625,FRA,2006,10.52922033,France,Europe & Central Asia,3871.53,High income,4.5
626,FSM,2006,11.92411067,"Micronesia, Fed. Sts.",East Asia & Pacific,285.47,Lower middle income,45.2
627,GAB,2006,2.88201626,Gabon,Sub-Saharan Africa,207.71,Upper middle income,74.1
628,GBR,2006,8.36326097,United Kingdom,Europe & Central Asia,3425.61,High income,5.9
629,GEO,2006,8.39422247,Georgia,Europe & Central Asia,147.35,Lower middle income,22.6
630,GHA,2006,4.63638188,Ghana,Sub-Saharan Africa,43.11,Lower middle income,84.9
631,GIN,2006,3.02029095,Guinea,Sub-Saharan Africa,8.95,Low income,126.9
632,GMB,2006,5.52277969,"Gambia, The",Sub-Saharan Africa,24.32,Low income,92.9
633,GNB,2006,5.874692700000001,Guinea-Bissau,Sub-Saharan Africa,23.26,Low income,138.6
634,GNQ,2006,2.12883668,Equatorial Guinea,Sub-Saharan Africa,266.45,Upper middle income,126.6
635,GRC,2006,9.33528442,Greece,Europe & Central Asia,2296.05,High income,4.3
636,GRD,2006,5.99301739,Grenada,Latin America & Caribbean,405.41,Upper middle income,14.8
637,GTM,2006,7.07207735,Guatemala,Latin America & Caribbean,158.48,Lower middle income,41.1
638,GUY,2006,4.66920858,Guyana,Latin America & Caribbean,91.57,Upper middle income,40.7
639,HND,2006,7.63244921,Honduras,Latin America & Caribbean,118.92,Lower middle income,28.1
640,HRV,2006,6.95312104,Croatia,Europe & Central Asia,813.87,Upper middle income,6.4
641,HTI,2006,5.69978142,Haiti,Latin America & Caribbean,29.56,Low income,87.5
642,HUN,2006,8.09995208,Hungary,Europe & Central Asia,922.33,High income,7.2
643,IDN,2006,2.90514781,Indonesia,East Asia & Pacific,46.2,Lower middle income,39.7
644,IND,2006,4.24668128,India,South Asia,34.64,Lower middle income,71.2
645,IRL,2006,7.22353538,Ireland,Europe & Central Asia,3982.27,High income,4.9
646,IRN,2006,5.94523503,"Iran, Islamic Rep.",Middle East & North Africa,204.26,Upper middle income,24.1
647,IRQ,2006,2.99905461,Iraq,Middle East & North Africa,59.33,Upper middle income,40.3
648,ISL,2006,8.96470691,Iceland,Europe & Central Asia,5094.19,High income,3.0
649,ISR,2006,7.37962269,Israel,Middle East & North Africa,1592.65,High income,5.3
650,ITA,2006,8.81849072,Italy,Europe & Central Asia,2951.59,High income,4.3
651,JAM,2006,4.22114615,Jamaica,Latin America & Caribbean,187.07,Upper middle income,19.6
652,JOR,2006,8.08490328,Jordan,Middle East & North Africa,220.13,Lower middle income,23.6
653,JPN,2006,8.19413457,Japan,East Asia & Pacific,2791.22,High income,3.6
654,KAZ,2006,3.72656036,Kazakhstan,Europe & Central Asia,194.02,Upper middle income,30.1
655,KEN,2006,4.24362134,Kenya,Sub-Saharan Africa,30.2,Lower middle income,76.6
656,KGZ,2006,6.73429073,Kyrgyz Republic,Europe & Central Asia,37.05,Lower middle income,37.7
657,KHM,2006,4.47935339,Cambodia,East Asia & Pacific,24.09,Lower middle income,60.4
658,KIR,2006,10.92704338,Kiribati,East Asia & Pacific,121.34,Lower middle income,64.6
659,KNA,2006,5.45901566,St. Kitts and Nevis,Latin America & Caribbean,697.0,High income,15.1
660,KOR,2006,5.75710863,"Korea, Rep.",East Asia & Pacific,1204.22,High income,5.2
661,KWT,2006,2.25224274,Kuwait,Middle East & North Africa,957.25,High income,11.6
662,LAO,2006,4.14334297,Lao PDR,East Asia & Pacific,25.13,Lower middle income,92.6
663,LBN,2006,8.83001398,Lebanon,Middle East & North Africa,474.4,Upper middle income,13.1
664,LBR,2006,10.90408771,Liberia,Sub-Saharan Africa,18.42,Low income,115.8
665,LBY,2006,2.5091272,Libya,Middle East & North Africa,233.94,Upper middle income,21.7
666,LCA,2006,6.37266722,St. Lucia,Latin America & Caribbean,402.78,Upper middle income,16.7
667,LKA,2006,4.06216396,Sri Lanka,South Asia,58.4,Lower middle income,13.6
668,LSO,2006,7.11552059,Lesotho,Sub-Saharan Africa,52.4,Lower middle income,114.4
669,LTU,2006,6.19588569,Lithuania,Europe & Central Asia,569.67,High income,8.6
670,LUX,2006,7.74947883,Luxembourg,Europe & Central Asia,7029.83,High income,3.3
671,LVA,2006,6.7991405,Latvia,Europe & Central Asia,612.62,High income,9.9
672,MAR,2006,5.23396796,Morocco,Middle East & North Africa,111.94,Lower middle income,38.9
673,MCO,2006,3.81972113,Monaco,Europe & Central Asia,5095.67,High income,4.4
674,MDA,2006,10.62583313,Moldova,Europe & Central Asia,100.81,Lower middle income,18.7
675,MDG,2006,5.11190088,Madagascar,Sub-Saharan Africa,14.98,Low income,77.8
676,MDV,2006,7.37121198,Maldives,South Asia,350.47,Upper middle income,20.0
677,MEX,2006,5.83217814,Mexico,Latin America & Caribbean,522.31,Upper middle income,19.8
678,MHL,2006,19.79982033,Marshall Islands,East Asia & Pacific,547.46,Upper middle income,39.6
679,MKD,2006,7.61320744,"Macedonia, FYR",Europe & Central Asia,255.5,Upper middle income,13.0
680,MLI,2006,6.55543828,Mali,Sub-Saharan Africa,30.16,Low income,162.7
681,MLT,2006,8.93281432,Malta,Middle East & North Africa,1495.37,High income,6.9
682,MMR,2006,1.77640517,Myanmar,East Asia & Pacific,5.36,Lower middle income,75.2
683,MNE,2006,8.01219061,Montenegro,Europe & Central Asia,350.14,Upper middle income,9.8
684,MNG,2006,4.67597361,Mongolia,East Asia & Pacific,62.4,Lower middle income,37.8
685,MOZ,2006,6.51278626,Mozambique,Sub-Saharan Africa,21.26,Low income,126.8
686,MRT,2006,3.20757593,Mauritania,Sub-Saharan Africa,30.09,Lower middle income,107.4
687,MUS,2006,4.37870539,Mauritius,Sub-Saharan Africa,240.08,Upper middle income,16.0
688,MWI,2006,8.99284504,Malawi,Sub-Saharan Africa,21.38,Low income,109.6
689,MYS,2006,3.65423211,Malaysia,East Asia & Pacific,226.37,Upper middle income,8.0
690,NAM,2006,7.19928741,Namibia,Sub-Saharan Africa,279.66,Upper middle income,67.0
691,NER,2006,7.39442881,Niger,Sub-Saharan Africa,19.27,Low income,161.3
692,NGA,2006,3.65686026,Nigeria,Sub-Saharan Africa,61.01,Lower middle income,151.9
693,NIC,2006,6.33185521,Nicaragua,Latin America & Caribbean,78.84,Lower middle income,29.8
694,NLD,2006,9.35703746,Netherlands,Europe & Central Asia,4162.44,High income,5.2
695,NOR,2006,8.43055064,Norway,Europe & Central Asia,6276.09,High income,3.9
696,NPL,2006,5.69674996,Nepal,South Asia,19.85,Low income,58.2
697,NRU,2006,13.54904504,Nauru,East Asia & Pacific,340.6,Upper middle income,39.1
698,NZL,2006,8.64627633,New Zealand,East Asia & Pacific,2315.65,High income,6.5
699,OMN,2006,2.31084657,Oman,Middle East & North Africa,336.81,High income,12.5
700,PAK,2006,3.40168643,Pakistan,South Asia,29.63,Lower middle income,99.6
701,PAN,2006,6.99655716,Panama,Latin America & Caribbean,354.88,Upper middle income,22.2
702,PER,2006,4.46819608,Peru,Latin America & Caribbean,140.48,Upper middle income,25.4
703,PHL,2006,3.95164594,Philippines,East Asia & Pacific,55.13,Lower middle income,35.0
704,PLW,2006,8.71445874,Palau,East Asia & Pacific,910.11,High income,22.0
705,PNG,2006,5.91902791,Papua New Guinea,East Asia & Pacific,52.47,Lower middle income,71.9
706,POL,2006,6.1706712,Poland,Europe & Central Asia,555.12,High income,7.3
707,PRT,2006,9.67265428,Portugal,Europe & Central Asia,1919.22,High income,4.4
708,PRY,2006,6.42732062,Paraguay,Latin America & Caribbean,116.32,Upper middle income,27.5
709,QAT,2006,2.58341286,Qatar,Middle East & North Africa,1591.21,High income,10.0
710,ROU,2006,5.05987966,Romania,Europe & Central Asia,294.14,Upper middle income,16.2
711,RUS,2006,5.30478653,Russian Federation,Europe & Central Asia,367.68,Upper middle income,12.9
712,RWA,2006,10.01649788,Rwanda,Sub-Saharan Africa,33.75,Low income,101.2
713,SAU,2006,3.54970413,Saudi Arabia,Middle East & North Africa,526.31,High income,17.8
714,SDN,2006,3.92670182,Sudan,Sub-Saharan Africa,54.17,Lower middle income,86.0
715,SEN,2006,5.4435566,Senegal,Sub-Saharan Africa,44.0,Low income,88.4
716,SGP,2006,3.65590488,Singapore,East Asia & Pacific,1170.89,High income,2.9
717,SLB,2006,6.664011500000001,Solomon Islands,East Asia & Pacific,63.31,Lower middle income,28.8
718,SLE,2006,10.67789154,Sierra Leone,Sub-Saharan Africa,38.39,Low income,196.0
719,SLV,2006,6.67646241,El Salvador,Latin America & Caribbean,207.54,Lower middle income,23.4
720,SMR,2006,3.85005378,San Marino,Europe & Central Asia,2822.16,High income,4.0
721,SRB,2006,8.99165287,Serbia,Europe & Central Asia,373.16,Upper middle income,8.4
722,STP,2006,7.84085755,Sao Tome and Principe,Sub-Saharan Africa,69.14,Lower middle income,57.8
723,SUR,2006,6.21722335,Suriname,Latin America & Caribbean,329.23,Upper middle income,27.3
724,SVK,2006,7.34768079,Slovak Republic,Europe & Central Asia,763.16,High income,7.9
725,SVN,2006,8.41787985,Slovenia,Europe & Central Asia,1636.73,High income,4.0
726,SWE,2006,8.94799761,Sweden,Europe & Central Asia,3947.09,High income,3.5
727,SWZ,2006,6.81322502,Swaziland,Sub-Saharan Africa,179.62,Lower middle income,117.0
728,SYC,2006,3.72881909,Seychelles,Sub-Saharan Africa,421.6,High income,14.1
729,SYR,2006,3.77755937,Syrian Arab Republic,Middle East & North Africa,66.96,Lower middle income,18.2
730,TCD,2006,3.32174296,Chad,Sub-Saharan Africa,23.65,Low income,165.3
731,TGO,2006,5.56021357,Togo,Sub-Saharan Africa,21.34,Low income,101.1
732,THA,2006,3.4934007769999997,Thailand,East Asia & Pacific,109.32,Upper middle income,17.4
733,TJK,2006,5.70209357,Tajikistan,Europe & Central Asia,23.16,Lower middle income,61.2
734,TKM,2006,2.90279089,Turkmenistan,Europe & Central Asia,129.34,Upper middle income,70.3
735,TLS,2006,0.65286624,Timor-Leste,East Asia & Pacific,18.3,Lower middle income,77.3
736,TON,2006,5.60594356,Tonga,East Asia & Pacific,159.05,Upper middle income,16.6
737,TTO,2006,4.48975901,Trinidad and Tobago,Latin America & Caribbean,632.88,High income,24.9
738,TUN,2006,5.64434473,Tunisia,Middle East & North Africa,190.3,Lower middle income,21.7
739,TUR,2006,5.81085626,Turkey,Europe & Central Asia,447.24,Upper middle income,25.5
740,TUV,2006,19.37748443,Tuvalu,East Asia & Pacific,449.81,Upper middle income,34.8
741,TZA,2006,6.86400679,Tanzania,Sub-Saharan Africa,31.22,Low income,88.5
742,UGA,2006,9.86250092,Uganda,Sub-Saharan Africa,40.97,Low income,109.8
743,UKR,2006,6.39231981,Ukraine,Europe & Central Asia,148.12,Lower middle income,14.0
744,URY,2006,11.17178456,Uruguay,Latin America & Caribbean,656.67,High income,13.6
745,USA,2006,15.2700426,United States,North America,7122.37,High income,7.9
746,UZB,2006,5.49300901,Uzbekistan,Europe & Central Asia,35.63,Lower middle income,46.6
747,VCT,2006,3.88350892,St. Vincent and the Grenadines,Latin America & Caribbean,217.8,Upper middle income,22.1
748,VEN,2006,4.85046028,"Venezuela, RB",Latin America & Caribbean,326.93,Upper middle income,17.9
749,VNM,2006,5.56258599,Vietnam,East Asia & Pacific,43.45,Lower middle income,24.8
750,VUT,2006,3.96261637,Vanuatu,East Asia & Pacific,81.11,Lower middle income,28.5
751,WSM,2006,4.67689122,Samoa,East Asia & Pacific,130.65,Upper middle income,19.3
752,YEM,2006,4.81712889,"Yemen, Rep.",Middle East & North Africa,52.1,Lower middle income,68.6
753,ZAF,2006,7.56779385,South Africa,Sub-Saharan Africa,419.29,Upper middle income,72.6
754,ZMB,2006,6.10709037,Zambia,Sub-Saharan Africa,62.92,Lower middle income,102.6
755,ZWE,2006,5.1241363,Zimbabwe,Sub-Saharan Africa,21.25,Low income,100.2
756,AFG,2007,6.72831635,Afghanistan,South Asia,26.99,Low income,102.2
757,AGO,2007,3.38311163,Angola,Sub-Saharan Africa,106.6,Lower middle income,147.6
758,ALB,2007,6.10393525,Albania,Europe & Central Asia,216.94,Upper middle income,18.6
759,AND,2007,6.33545578,Andorra,Europe & Central Asia,2997.57,High income,3.6
760,ARE,2007,2.56564188,United Arab Emirates,Middle East & North Africa,1101.01,High income,9.3
761,ARG,2007,6.49458405,Argentina,Latin America & Caribbean,539.24,Upper middle income,15.8
762,ARM,2007,4.30883082,Armenia,Europe & Central Asia,134.06,Lower middle income,21.1
763,ATG,2007,4.26972324,Antigua and Barbuda,Latin America & Caribbean,652.25,High income,11.4
764,AUS,2007,8.5306305,Australia,East Asia & Pacific,4077.85,High income,5.4
765,AUT,2007,10.40127692,Austria,Europe & Central Asia,4710.11,High income,4.6
766,AZE,2007,5.09525293,Azerbaijan,Europe & Central Asia,192.38,Upper middle income,46.0
767,BDI,2007,10.02676743,Burundi,Sub-Saharan Africa,15.97,Low income,110.6
768,BEL,2007,9.25207442,Belgium,Europe & Central Asia,4017.79,High income,4.8
769,BEN,2007,4.54583981,Benin,Sub-Saharan Africa,28.77,Low income,118.1
770,BFA,2007,6.62938957,Burkina Faso,Sub-Saharan Africa,31.47,Low income,139.0
771,BGD,2007,2.79895606,Bangladesh,South Asia,15.24,Lower middle income,59.3
772,BGR,2007,6.41034419,Bulgaria,Europe & Central Asia,379.48,Upper middle income,11.8
773,BHR,2007,3.07767478,Bahrain,Middle East & North Africa,651.47,High income,9.8
774,BHS,2007,7.07559268,"Bahamas, The",Latin America & Caribbean,1719.8,High income,15.6
775,BIH,2007,8.37007608,Bosnia and Herzegovina,Europe & Central Asia,343.85,Upper middle income,8.1
776,BLR,2007,6.43772703,Belarus,Europe & Central Asia,304.99,Upper middle income,7.2
777,BLZ,2007,4.76058357,Belize,Latin America & Caribbean,205.89,Upper middle income,20.1
778,BOL,2007,4.96364424,Bolivia,Latin America & Caribbean,70.05,Lower middle income,54.6
779,BRA,2007,8.28058988,Brazil,Latin America & Caribbean,599.6,Upper middle income,23.2
780,BRB,2007,5.63907522,Barbados,Latin America & Caribbean,928.29,High income,15.0
781,BRN,2007,2.31773158,Brunei Darussalam,East Asia & Pacific,758.1,High income,11.1
782,BTN,2007,5.87866065,Bhutan,South Asia,103.18,Lower middle income,51.3
783,BWA,2007,4.71306526,Botswana,Sub-Saharan Africa,267.07,Upper middle income,62.0
784,CAF,2007,4.04420573,Central African Republic,Sub-Saharan Africa,16.34,Low income,159.0
785,CAN,2007,9.834883999999999,Canada,North America,4382.43,High income,5.9
786,CHE,2007,10.20985654,Switzerland,Europe & Central Asia,6125.97,High income,4.8
787,CHL,2007,6.34524532,Chile,Latin America & Caribbean,664.98,High income,9.1
788,CHN,2007,4.31833293,China,East Asia & Pacific,115.29,Upper middle income,20.0
789,CIV,2007,6.34588449,Cote d'Ivoire,Sub-Saharan Africa,68.44,Lower middle income,120.1
790,CMR,2007,4.75670352,Cameroon,Sub-Saharan Africa,50.94,Lower middle income,125.7
791,COD,2007,3.61073821,"Congo, Dem. Rep.",Sub-Saharan Africa,9.87,Low income,128.3
792,COG,2007,2.53770363,"Congo, Rep.",Sub-Saharan Africa,57.33,Lower middle income,76.8
793,COL,2007,6.25336641,Colombia,Latin America & Caribbean,292.3,Upper middle income,20.4
794,COM,2007,4.93045333,Comoros,Sub-Saharan Africa,35.11,Low income,95.9
795,CPV,2007,4.30181632,Cabo Verde,Sub-Saharan Africa,135.32,Lower middle income,27.8
796,CRI,2007,8.36985934,Costa Rica,Latin America & Caribbean,524.55,Upper middle income,10.4
797,CUB,2007,10.41968483,Cuba,Latin America & Caribbean,586.91,Upper middle income,6.4
798,CYP,2007,6.05253416,Cyprus,Europe & Central Asia,1734.48,High income,4.3
799,CZE,2007,6.522339,Czech Republic,Europe & Central Asia,1147.98,High income,3.9
800,DEU,2007,10.180405300000002,Germany,Europe & Central Asia,4254.23,High income,4.5
801,DJI,2007,7.72082465,Djibouti,Middle East & North Africa,81.9,Lower middle income,83.7
802,DMA,2007,4.66781159,Dominica,Latin America & Caribbean,282.78,Upper middle income,17.6
803,DNK,2007,9.98729401,Denmark,Europe & Central Asia,5709.97,High income,4.5
804,DOM,2007,4.34354051,Dominican Republic,Latin America & Caribbean,199.65,Upper middle income,35.7
805,DZA,2007,3.82141191,Algeria,Middle East & North Africa,150.55,Upper middle income,30.7
806,ECU,2007,5.93693781,Ecuador,Latin America & Caribbean,213.18,Upper middle income,27.5
807,EGY,2007,4.95043355,"Egypt, Arab Rep.",Middle East & North Africa,84.31,Lower middle income,33.1
808,ERI,2007,3.29157461,Eritrea,Sub-Saharan Africa,9.85,Low income,62.9
809,ESP,2007,8.35762244,Spain,Europe & Central Asia,2690.0,High income,4.4
810,EST,2007,5.15908483,Estonia,Europe & Central Asia,845.47,High income,5.9
811,ETH,2007,4.69032041,Ethiopia,Sub-Saharan Africa,11.21,Low income,97.1
812,FIN,2007,8.09335361,Finland,Europe & Central Asia,3775.58,High income,3.5
813,FJI,2007,3.74015968,Fiji,East Asia & Pacific,152.57,Upper middle income,23.8
814,FRA,2007,10.44898821,France,Europe & Central Asia,4371.97,High income,4.4
815,FSM,2007,11.99023438,"Micronesia, Fed. Sts.",East Asia & Pacific,292.11,Lower middle income,43.9
816,GAB,2007,2.8583196,Gabon,Sub-Saharan Africa,246.75,Upper middle income,71.6
817,GBR,2007,8.41613855,United Kingdom,Europe & Central Asia,3937.19,High income,5.8
818,GEO,2007,8.16731799,Georgia,Europe & Central Asia,189.93,Lower middle income,20.8
819,GHA,2007,5.30044343,Ghana,Sub-Saharan Africa,58.25,Lower middle income,82.7
820,GIN,2007,3.07812234,Guinea,Sub-Saharan Africa,12.53,Low income,122.1
821,GMB,2007,5.76134541,"Gambia, The",Sub-Saharan Africa,29.96,Low income,89.4
822,GNB,2007,6.1035278,Guinea-Bissau,Sub-Saharan Africa,27.8,Low income,132.2
823,GNQ,2007,2.24801409,Equatorial Guinea,Sub-Saharan Africa,344.18,Upper middle income,122.5
824,GRC,2007,9.408469300000002,Greece,Europe & Central Asia,2689.06,High income,4.2
825,GRD,2007,5.87601597,Grenada,Latin America & Caribbean,430.27,Upper middle income,14.7
826,GTM,2007,6.85595784,Guatemala,Latin America & Caribbean,169.51,Lower middle income,39.6
827,GUY,2007,6.45346258,Guyana,Latin America & Caribbean,150.63,Upper middle income,39.9
828,HND,2007,7.89426555,Honduras,Latin America & Caribbean,136.79,Lower middle income,26.8
829,HRV,2007,7.44334788,Croatia,Europe & Central Asia,1038.92,Upper middle income,6.2
830,HTI,2007,5.55702995,Haiti,Latin America & Caribbean,34.72,Low income,85.3
831,HUN,2007,7.50953251,Hungary,Europe & Central Asia,1037.58,High income,6.8
832,IDN,2007,3.09844209,Indonesia,East Asia & Pacific,57.65,Lower middle income,38.0
833,IND,2007,4.22653116,India,South Asia,43.21,Lower middle income,68.0
834,IRL,2007,7.57001772,Ireland,Europe & Central Asia,4704.24,High income,4.6
835,IRN,2007,5.84412037,"Iran, Islamic Rep.",Middle East & North Africa,254.35,Upper middle income,22.7
836,IRQ,2007,3.69178171,Iraq,Middle East & North Africa,97.3,Upper middle income,39.5
837,ISL,2007,8.75292103,Iceland,Europe & Central Asia,6057.86,High income,2.9
838,ISR,2007,7.36888637,Israel,Middle East & North Africa,1813.2,High income,5.1
839,ITA,2007,8.48168567,Italy,Europe & Central Asia,3210.65,High income,4.2
840,JAM,2007,4.87190883,Jamaica,Latin America & Caribbean,230.49,Upper middle income,19.3
841,JOR,2007,8.34550992,Jordan,Middle East & North Africa,247.94,Lower middle income,23.0
842,JPN,2007,8.24853451,Japan,East Asia & Pacific,2806.57,High income,3.5
843,KAZ,2007,3.18543508,Kazakhstan,Europe & Central Asia,212.1,Upper middle income,28.0
844,KEN,2007,4.07795506,Kenya,Sub-Saharan Africa,34.99,Lower middle income,72.6
845,KGZ,2007,6.87338793,Kyrgyz Republic,Europe & Central Asia,50.1,Lower middle income,35.8
846,KHM,2007,3.7458317,Cambodia,East Asia & Pacific,23.57,Lower middle income,56.0
847,KIR,2007,13.65860476,Kiribati,East Asia & Pacific,174.44,Lower middle income,64.5
848,KNA,2007,5.29182061,St. Kitts and Nevis,Latin America & Caribbean,717.41,High income,14.2
849,KOR,2007,5.98674394,"Korea, Rep.",East Asia & Pacific,1383.03,High income,4.8
850,KWT,2007,2.13286507,Kuwait,Middle East & North Africa,963.14,High income,11.5
851,LAO,2007,4.14439212,Lao PDR,East Asia & Pacific,29.4,Lower middle income,89.0
852,LBN,2007,8.9037559,Lebanon,Middle East & North Africa,535.63,Upper middle income,12.2
853,LBR,2007,10.23524323,Liberia,Sub-Saharan Africa,21.47,Low income,107.7
854,LBY,2007,2.62642263,Libya,Middle East & North Africa,273.51,Upper middle income,20.2
855,LCA,2007,6.8131974,St. Lucia,Latin America & Caribbean,457.89,Upper middle income,16.5
856,LKA,2007,3.75875181,Sri Lanka,South Asia,61.37,Lower middle income,12.9
857,LSO,2007,8.46770338,Lesotho,Sub-Saharan Africa,69.17,Lower middle income,111.6
858,LTU,2007,6.22384874,Lithuania,Europe & Central Asia,753.19,High income,8.0
859,LUX,2007,6.79800543,Luxembourg,Europe & Central Asia,7329.37,High income,3.2
860,LVA,2007,7.01215151,Latvia,Europe & Central Asia,915.23,High income,9.3
861,MAR,2007,5.47518256,Morocco,Middle East & North Africa,132.81,Lower middle income,37.5
862,MCO,2007,3.38073993,Monaco,Europe & Central Asia,5667.98,High income,4.3
863,MDA,2007,10.88435311,Moldova,Europe & Central Asia,134.27,Lower middle income,18.1
864,MDG,2007,4.98399653,Madagascar,Sub-Saharan Africa,18.89,Low income,73.7
865,MDV,2007,6.64152393,Maldives,South Asia,367.53,Upper middle income,17.8
866,MEX,2007,5.91563943,Mexico,Latin America & Caribbean,565.53,Upper middle income,19.0
867,MHL,2007,20.42172636,Marshall Islands,East Asia & Pacific,587.55,Upper middle income,39.4
868,MKD,2007,6.89955664,"Macedonia, FYR",Europe & Central Asia,280.97,Upper middle income,12.3
869,MLI,2007,6.97251095,Mali,Sub-Saharan Africa,36.21,Low income,154.7
870,MLT,2007,8.35676141,Malta,Middle East & North Africa,1628.07,High income,6.8
871,MMR,2007,1.68461292,Myanmar,East Asia & Pacific,6.94,Lower middle income,72.5
872,MNE,2007,6.74225066,Montenegro,Europe & Central Asia,400.37,Upper middle income,8.9
873,MNG,2007,5.06366434,Mongolia,East Asia & Pacific,82.71,Lower middle income,34.5
874,MOZ,2007,5.25271234,Mozambique,Sub-Saharan Africa,21.41,Low income,118.7
875,MRT,2007,3.53528514,Mauritania,Sub-Saharan Africa,35.66,Lower middle income,105.2
876,MUS,2007,4.24109725,Mauritius,Sub-Saharan Africa,268.02,Upper middle income,16.1
877,MWI,2007,9.31250037,Malawi,Sub-Saharan Africa,25.17,Low income,105.1
878,MYS,2007,3.60562884,Malaysia,East Asia & Pacific,261.07,Upper middle income,7.9
879,NAM,2007,6.99321064,Namibia,Sub-Saharan Africa,293.43,Upper middle income,63.7
880,NER,2007,6.93941879,Niger,Sub-Saharan Africa,20.46,Low income,150.8
881,NGA,2007,4.4733267,Nigeria,Sub-Saharan Africa,81.37,Lower middle income,146.0
882,NIC,2007,6.91390603,Nicaragua,Latin America & Caribbean,93.38,Lower middle income,28.4
883,NLD,2007,9.35717394,Netherlands,Europe & Central Asia,4801.73,High income,5.0
884,NOR,2007,8.58441414,Norway,Europe & Central Asia,7351.79,High income,3.7
